name,item_number,release_date_japan,package_size_mm,built_up_size_mm,pieces_single,pieces_box,total_pieces,target_age,difficulty_level,link_rakuten
ミニナノ ミッフィー,NBMC_27,2021-07-11,105×180×13,28×50×12,NA,NA,NA,12,NA,https://item.rakuten.co.jp/diablock/4972825221938/
モササウルス,NBC_349,2021-07-03,105×180×13,60×45×150,180,NA,180,12,2,https://item.rakuten.co.jp/diablock/4972825221501/
ドラムセット グリーン,NBC_348,2021-07-03,105×180×13,100×50×60,190,NA,190,12,2,https://item.rakuten.co.jp/diablock/4972825221402/
エレキギター イエロー,NBC_347,2021-07-03,105×180×13,40×130×25,160,NA,160,12,1,https://item.rakuten.co.jp/diablock/4972825221396/
エレキギター パステルブルー,NBC_346,2021-07-03,105×180×13,40×130×25,150,NA,150,12,1,https://item.rakuten.co.jp/diablock/4972825221389/
ハシビロコウ,NBC_345,2021-07-03,105×180×13,30×80×52,170,NA,170,12,2,https://item.rakuten.co.jp/diablock/4972825221372/
キバタン,NBC_344,2021-07-03,105×180×13,30×75×88,140,NA,140,12,2,https://item.rakuten.co.jp/diablock/4972825221365/
ルリコンゴウインコ,NBC_343,2021-07-03,105×180×13,135×50×97,140,NA,140,12,2,https://item.rakuten.co.jp/diablock/4972825221358/
モーターサイクル,NBH_219,2021-07-03,140×210×45,60×75×140,570,NA,570,12,4,https://item.rakuten.co.jp/diablock/4972825221426/
スペースセンター,NBH_218,2021-07-03,140×140×45,80×150×80,510,NA,510,12,3,https://item.rakuten.co.jp/diablock/4972825221433/
ダイナソーDX ティラノサウルス レックス,NBM_031,2021-07-03,280×210×45,95×110×270,850,NA,850,12,4,https://item.rakuten.co.jp/diablock/4972825221419/
姫路城 デラックスエディション,NB_051,2021-07-03,420×210×70,204×165×200,2750,NA,2750,12,5,https://item.rakuten.co.jp/diablock/4972825222126/
PAC-MAN アーケード筐体,NBCC_107,2021-07-03,105×180×20,32×62×36,160,NA,160,12,2,https://item.rakuten.co.jp/diablock/4972825222096/
PAC-MAN ブリンキー&インキー,NBCC_106,2021-07-03,105×180×20,36×35×20,180,NA,180,12,2,https://item.rakuten.co.jp/diablock/4972825222089/
PAC-MAN パックマン＆チェリー,NBCC_105,2021-07-03,105×180×20,32×38×32,150,NA,150,12,1,https://item.rakuten.co.jp/diablock/4972825222072/
キャラナノ マジンガーZ,CN_36,2021-07-03,105×140×70,64×90×45,370,NA,370,12,3,https://item.rakuten.co.jp/diablock/4972825221211/
ミニナノ 僕のヒーローアカデミア vol.2,NBMC_23,2021-07-03,105×180×13,30×35×25,60,NA,60,12,NA,https://item.rakuten.co.jp/diablock/4972825221907/
ミニナノ ウルトラマン vol.2,NBMC_22,2021-07-03,105×180×13,25×48×42,70,NA,70,12,NA,https://item.rakuten.co.jp/diablock/4972825221914/
トランペット,NBC_338,2021-04-17,105×180×13,24×39×78,110,NA,110,12,2,https://item.rakuten.co.jp/diablock/4972825220399/
ヴァイオリン,NBC_337,2021-04-17,105×180×13,40×101×16,190,NA,190,12,1,https://item.rakuten.co.jp/diablock/4972825220382/
グランドピアノ,NBC_336,2021-04-17,105×180×13,NA,190,NA,190,12,2,https://item.rakuten.co.jp/diablock/4972825220375/
ストーリーズコレクション ウェディング,NBH_212,2021-04-17,140×140×45,80×140×80,300,NA,300,12,2,https://item.rakuten.co.jp/diablock/4972825220450/
サグラダファミリア,NBH_211,2021-04-17,140×140×45,80×96×80,740,NA,740,12,3,https://item.rakuten.co.jp/diablock/4972825220443/
ポケットモンスター ダクマ,NBPM_076,2021-04-17,105×180×20,34×58×64,160,NA,160,12,2,https://item.rakuten.co.jp/diablock/4972825220467/
ポケットモンスター ガブリアス,NBPM_075,2021-04-17,105×180×13,52×62×60,210,NA,210,12,2,https://item.rakuten.co.jp/diablock/4972825220474/
ミニナノ ポケットモンスター くさタイプ,NBMC_21,2021-04-17,105×180×13,34×58×64,65,NA,65,12,NA,https://item.rakuten.co.jp/diablock/4972825220320/
ミニナノ クレヨンしんちゃん vol.2,NBMC_20,2021-04-17,105×180×13,32×40×23,70,NA,70,12,NA,https://item.rakuten.co.jp/diablock/4972825220368/
ポケットモンスター ニンフィア,NBPM_073,2021-01-23,105×180×13,52×62×60,170,NA,170,12,3,https://item.rakuten.co.jp/diablock/4972825220078/
ポケットモンスター グレイシア,NBPM_072,2021-01-23,105×180×13,44×50×60,160,NA,160,12,2,https://item.rakuten.co.jp/diablock/4972825220054/
ポケットモンスター リーフィア,NBPM_071,2021-01-23,105×180×13,44×50×60,140,NA,140,12,2,https://item.rakuten.co.jp/diablock/4972825220061/
江戸川 コナン（スケボーver.),CN_32,2021-01-23,105×140×70,64×118×60,320,NA,320,12,4,https://item.rakuten.co.jp/diablock/4972825220139/
ミニナノ 名探偵コナン02,NBMC_18,2021-01-23,105×180×13,42×46×28,80,NA,80,12,NA,https://item.rakuten.co.jp/diablock/4972825219942/
ミニナノ リラックマ,NBMC_17,2021-01-23,105×180×13,20×50×28,60,NA,60,12,NA,https://item.rakuten.co.jp/diablock/4972825219966/
ミニナノ ポケットモンスター みずタイプ,NBMC_16,2021-01-23,105×180×13,20×38×40,70,NA,70,12,NA,https://item.rakuten.co.jp/diablock/4972825219928/
ミニナノ エヴァンゲリオン vol2,NBMC_19,2021-01-01,105×180×13,35×55×27,75,NA,75,12,NA,https://item.rakuten.co.jp/diablock/4972825220344/
海賊船 デラックスエディション,NB_050,2020-12-05,420×210×70,320×235×110,3280,NA,3280,12,5,https://item.rakuten.co.jp/diablock/4972825220047/
名古屋城,NBH_207,2020-11-21,140×140×45,80×95×80,550,NA,550,12,3,https://item.rakuten.co.jp/diablock/4972825219409/
ノートルダム大聖堂,NBH_205,2020-11-21,140×210×45,80×92×160,1040,NA,1040,12,4,https://item.rakuten.co.jp/diablock/4972825219416/
ポケットモンスター レックウザ エクストリームDX,NBPM_074,2020-11-21,410×270×70,220×210×200,1790,NA,1790,12,5,https://item.rakuten.co.jp/diablock/4972825220481/
ポケットモンスター ゲッコウガ,NBPM_070,2020-11-21,105×180×13,80×58×48,180,NA,180,12,3,https://item.rakuten.co.jp/diablock/4972825219430/
ポケットモンスター ワンパチ,NBPM_069,2020-11-21,105×180×30,34×58×64,190,NA,190,12,2,https://item.rakuten.co.jp/diablock/4972825219423/
ミニナノ 縁起物 2021,NBMC_15,2020-11-21,105×180×13,48×38×17,50,NA,50,12,NA,https://item.rakuten.co.jp/diablock/4972825219294/
ミニナノ ポケットモンスター ノーマルタイプ,NBMC_14,2020-11-21,105×180×13,28×33×44,60,NA,60,12,NA,https://item.rakuten.co.jp/diablock/4972825219331/
ミニナノ キン肉マン,NBMC_13,2020-11-21,105×180×13,20×50×28,70,NA,70,12,NA,https://item.rakuten.co.jp/diablock/4972825219317/
ジャイアントパンダ,NBC_328,2020-09-12,105×180×13,48×56×52,220,NA,220,12,2,https://item.rakuten.co.jp/diablock/4972825219126/
キリン,NBC_327,2020-09-12,105×180×13,24×116×100,220,NA,220,12,2,https://item.rakuten.co.jp/diablock/4972825219102/
ライオン,NBC_326,2020-09-12,105×180×13,32×53×92,200,NA,200,12,2,https://item.rakuten.co.jp/diablock/4972825219119/
首里城,NBM_030,2020-09-12,280×210×45,160×74×120,840,NA,840,12,3,https://item.rakuten.co.jp/diablock/4972825219140/
