name,item_number,release_date_japan,package_size_mm,built_up_size_mm,pieces_single,pieces_box,target_age,difficulty_level,link_rakuten
ミニナノ PUI PUI モルカー,NBMC_28,2021/7/23,105×180×13 (mm),"30×23×32 (mm)
 (参考：ポテト)",60 (参考：ポテト),1BOX6個,12,NA,https://item.rakuten.co.jp/diablock/4972825222898/
ミニナノ ミッフィー,NBMC_27,2021/7/11,105×180×13 (mm),"28×50×12 (mm)
 (参考：ミッフィー）",(参考：ミッフィー）,NA,12,NA,https://item.rakuten.co.jp/diablock/4972825221938/
モササウルス,NBC_349,2021/7/3,105×180×13 (mm),60×45×150 (mm),180,NA,12,2,https://item.rakuten.co.jp/diablock/4972825221501/
ドラムセット グリーン,NBC_348,2021/7/3,105×180×13 (mm),100×50×60 (mm),190,NA,12,2,https://item.rakuten.co.jp/diablock/4972825221402/
エレキギター イエロー,NBC_347,2021/7/3,105×180×13 (mm),40×130×25 (mm),160,NA,12,1,https://item.rakuten.co.jp/diablock/4972825221396/
エレキギター パステルブルー,NBC_346,2021/7/3,105×180×13 (mm),40×130×25 (mm),150,NA,12,1,https://item.rakuten.co.jp/diablock/4972825221389/
ハシビロコウ,NBC_345,2021/7/3,105×180×13 (mm),30×80×52 (mm),170,NA,12,2,https://item.rakuten.co.jp/diablock/4972825221372/
キバタン,NBC_344,2021/7/3,105×180×13 (mm),30×75×88 (mm),140,NA,12,2,https://item.rakuten.co.jp/diablock/4972825221365/
ルリコンゴウインコ,NBC_343,2021/7/3,105×180×13 (mm),135×50×97 (mm),140,NA,12,2,https://item.rakuten.co.jp/diablock/4972825221358/
モーターサイクル,NBH_219,2021/7/3,140×210×45 (mm),60×75×140 (mm),570,NA,12,4,https://item.rakuten.co.jp/diablock/4972825221426/
スペースセンター,NBH_218,2021/7/3,140×140×45 (mm),80×150×80 (mm),510,NA,12,3,https://item.rakuten.co.jp/diablock/4972825221433/
ダイナソーDX ティラノサウルス レックス,NBM-031,2021/7/3,280×210×45 (mm),95×110×270 (mm),850,NA,12,4,https://item.rakuten.co.jp/diablock/4972825221419/
姫路城 デラックスエディション,NB-051,2021/7/3,420×210×70 (mm),204×165× 200 (mm),2750,NA,12,5,https://item.rakuten.co.jp/diablock/4972825222126/
PAC-MAN アーケード筐体,NBCC_107,2021/7/3,105×180×20 (mm),32×62×36 (mm),160,NA,12,2,https://item.rakuten.co.jp/diablock/4972825222096/
PAC-MAN ブリンキー&インキー,NBCC_106,2021/7/3,105×180×20 (mm),36×35×20 (mm),180,NA,12,2,https://item.rakuten.co.jp/diablock/4972825222089/
PAC-MAN パックマン＆チェリー,NBCC_105,2021/7/3,105×180×20 (mm),32×38×32 (mm),150,NA,12,1,https://item.rakuten.co.jp/diablock/4972825222072/
