name,item_number,release_date_japan,package_size_mm,built_up_size_mm,pieces_single,pieces_box,target_age,difficulty_level
キャラナノ 赤井 秀一,CN-20,2020/1/18,105×140×70 (mm),56×85×75 (mm),240,NA,12,2
キャラナノ 江戸川 コナン,CN-19,2020/1/18,105×140×70 (mm),56×63×56 (mm),240,NA,12,3
mininano Detective Conan,NBMC_03,2020/1/18,105×180×13 (mm),"36×38×28 (mm)
 （参考：コナン）",80 （参考：コナン）,1BOX6個,12,NA
ノイシュバンシュタイン城,NBH_198,2020/1/18,140×140×45 (mm),80×92×80 (mm),500,NA,12,3
Mininano Ultraman,NBMC_05,2020/1/1,105×180×13 (mm),"28×50×24 (mm)
 (参考：ウルトラマン)",77 (参考：ウルトラマン),1BOX6個,12,NA
Mininano Sanrio characters,NBMC_04,2020/1/1,105×180×13 (mm),"36×38×12 (mm)
 (参考：ハローキティ)",70 (参考：ハローキティ),1BOX6個,12,NA
Mininano Evangelion,NBMC_02,2020/1/1,105×180×13 (mm),"36×45×28 (mm)
 (参考：初号機)",79 (参考：初号機),1BOX6個,12,NA
ロリポップキャンディ,NBC_306,2020/1/1,105×180×13 (mm),32×62×12 (mm),150,NA,12,1
フライドポテト,NBC_305,2020/1/1,105×180×13 (mm),37×61×20 (mm),120,NA,12,2
ワイン,NBC_304,2020/1/1,105×180×13 (mm),16×77×16 (mm),160,NA,12,2
だるま,NBH_195,2019/11/16,140×140×45 (mm),64×60×64 (mm),400,NA,12,3
清水寺,NBH_194,2019/11/16,140×210×45 (mm),120×74×80 (mm),620,NA,12,3
ポケットモンスター メッソン,NBPM_061,2019/11/16,105×180×30 (mm),44×76×64 (mm),210,NA,12,2
ポケットモンスター ヒバニー,NBPM_060,2019/11/16,105×180×30 (mm),60×97×36 (mm),180,NA,12,2
ポケットモンスター サルノリ,NBPM_059,2019/11/16,105×180×30 (mm),60×73×60 (mm),190,NA,12,2
キャラナノ アグレッシブ烈子,CN-14,2019/11/16,105×140×70 (mm),74×94×48 (mm),370,NA,12,3
キャラナノ ウルトラマン ゼロ,CN-13,2019/11/16,105×140×70 (mm),44×85×55 (mm),260,NA,12,3
ミッフィー アンド キャット,NBCC_080,2019/10/1,89×74×89 (mm),90×38×20 (mm),100,NA,12,1
地球,NBM-028,2019/9/21,280×210×45 (mm),100×140×140 (mm),880,NA,12,3
ビッグ・ベン,NBH_193,2019/9/1,140×140×45 (mm),80×120× 80 (mm),560,NA,12,3
パリのセーヌ河岸,NBH_192,2019/9/1,140×140×45 (mm),80×125×80 (mm),370,NA,12,3
パリ,NB-047,2019/9/1,420×210×70 (mm),240×80×190 (mm),1620,NA,12,3
ポケットモンスター メガリザードンY,NBPM_058,2019/9/1,105×180×35 (mm),108×60×76 (mm),310,NA,12,3
ポケットモンスター メガリザードンX,NBPM_057,2019/9/1,105×180×35 (mm),100×60×84 (mm),320,NA,12,3
キャラナノ 初音ミク,CN-08,2019/9/1,105×140×70 (mm),115×81× 50 (mm),310,NA,12,3
アニマルDX ホホジロザメ,NBM-027,2019/7/1,280×210×45 (mm),130×100×300 (mm),680,NA,12,4
雷門 デラックスエディション,NB-046,2019/7/1,420×210×70 (mm),240×134×160 (mm),2740,NA,12,5
DORAEMON mini,NBMC_01,2019/7/1,105×180×13 (mm),"33×42×31 (mm)
 (参考：ドラえもん)",100 (参考：ドラえもん),1BOX6個,12,NA
800系新幹線 つばめ,nGT_024,2019/7/1,140×180×20 (mm),24×32×100 (mm),180,NA,12,2
E233系 湘南新宿ライン　,nGT_023,2019/7/1,140×180×20 (mm),24×32×80 (mm),180,NA,12,2
アフリカゾウ,NBC_295,2019/7/1,105×180×13 (mm),55×45×84 (mm),200,NA,12,3
