name,item_number,release_date_japan,package_size_mm,built_up_size_mm,pieces_single,pieces_box,target_age,difficulty_level
姫路城 デラックスエディション,NB-051,2021-07-03,420×210×70,204×165×200,2750,NA,12,5
PAC-MAN ARCADE MACHINE,NBCC-107,2021-07-03,105×180×20,32×62×36,160,NA,12,2
PAC-MAN BLINKY ＆ INKY,NBCC-106,2021-07-03,105×180×20,36×35×20,180,NA,12,2
PAC-MAN PAC-MAN & CHERRY,NBCC-105,2021-07-03,105×180×20,32×38×32,150,NA,12,1
キャラナノ マジンガーZ,CN-36,2021-07-03,105×140×70,64×90×45,370,NA,12,3
ミニナノ 僕のヒーローアカデミア vol.2,NBMC-23,2021-07-03,105×180×13,30×35×25,60,NA,12,NA
mininano ULTRAMAN vol.2,NBMC-22,2021-07-03,105×180×13,25×48×42,70,NA,12,NA
MOSASAURUS,NBC-349,2021-07-03,105×180×13,60×45×150,180,NA,12,2
ドラムセット グリーン,NBC-348,2021-07-03,105×180×13,100×50×60,190,NA,12,2
エレキギター イエロー,NBC-347,2021-07-03,105×180×13,40×130×25,160,NA,12,1
エレキギター パステルブルー,NBC-346,2021-07-03,105×180×13,40×130×25,150,NA,12,1
ハシビロコウ,NBC-345,2021-07-03,105×180×13,30×80×52,170,NA,12,2
キバタン,NBC-344,2021-07-03,105×180×13,30×75×88,140,NA,12,2
ルリコンゴウインコ,NBC-343,2021-07-03,105×180×13,135×50×97,140,NA,12,2
MOTORCYCLE,NBH-219,2021-07-03,140×210×45,60×75×140,570,NA,12,4
スペースセンター,NBH-218,2021-07-03,140×140×45,80×150×80,510,NA,12,3
ポケットモンスター ダクマ,NBPM-076,2021-04-17,105×180×20,34×58×64,160,NA,12,2
ポケットモンスター ガブリアス,NBPM-075,2021-04-17,105×180×13,52×62×60,210,NA,12,2
mininano Pokémon Type: Grass,NBMC-21,2021-04-17,105×180×13,34×58×64,65,NA,12,NA
mininano Crayon Shinchan vol.2,NBMC-20,2021-04-17,105×180×13,32×40×23,70,NA,12,NA
トランペット,NBC-338,2021-04-17,105×180×13,24×39×78,110,NA,12,2
ヴァイオリン,NBC-337,2021-04-17,105×180×13,40×101×16,190,NA,12,1
グランドピアノ,NBC-336,2021-04-17,105×180×13,42×43×52,190,NA,12,2
ストーリーズコレクション ウェディング,NBH-212,2021-04-17,140×140×45,80×140×80,300,NA,12,2
サグラダファミリア,NBH-211,2021-04-17,140×140×45,80×96×80,740,NA,12,3
ポケットモンスター ニンフィア,NBPM-073,2021-01-23,105×180×13,52×62×60,170,NA,12,3
ポケットモンスター グレイシア,NBPM-072,2021-01-23,105×180×13,44×50×60,160,NA,12,2
ポケットモンスター リーフィア,NBPM-071,2021-01-23,105×180×13,44×50×60,140,NA,12,2
江戸川 コナン（スケボーver.),CN-32,2021-01-23,105×140×70,64×118×60,320,NA,12,4
mininano Detective Conan vol.2,NBMC-18,2021-01-23,105×180×13,42×46×28,80,NA,12,NA
mininano RILAKKUMA,NBMC-17,2021-01-23,105×180×13,20×50×28,60,NA,12,NA
mininano Pokémon Type: Water,NBMC-16,2021-01-23,105×180×13,20×38×40,70,NA,12,NA
mininano Evangelion vol.2,NBMC-19,2021-01-01,105×180×13,35×55×27,75,NA,12,NA
海賊船 デラックスエディション,NB-050,2020-12-05,420×210×70,320×235×110,3280,NA,12,5
ポケットモンスター レックウザ エクストリームDX,NBPM-074,2020-11-21,410×270×70,220×210×200,1790,NA,12,5
ポケットモンスター ゲッコウガ,NBPM-070,2020-11-21,105×180×13,80×58×48,180,NA,12,3
ポケットモンスター ワンパチ,NBPM-069,2020-11-21,105×180×30,34×58×64,190,NA,12,2
mininano LUCKY CHARMS 2021,NBMC-15,2020-11-21,105×180×13,48×38×17,50,NA,12,NA
mininano Pokémon Type : Normal,NBMC-14,2020-11-21,105×180×13,28×33×44,60,NA,12,NA
Mininano KINNIKUMAN,NBMC-13,2020-11-21,105×180×13,20×50×28,70,NA,12,NA
名古屋城,NBH-207,2020-11-21,140×140×45,80×95×80,550,NA,12,3
ノートルダム大聖堂,NBH-205,2020-11-21,140×210×45,80×92×160,1040,NA,12,4
首里城,NBM-030,2020-09-12,280×210×45,160×74×120,840,NA,12,3
ポケットモンスター ルカリオ,NBPM-068,2020-09-12,105×180×13,56×73×64,160,NA,12,3
ポケットモンスター ポニータ(ガラルのすがた),NBPM-067,2020-09-12,105×180×30,36×65×72,200,NA,12,3
キャラナノ 怪盗キッド,CN-29,2020-09-12,105×140×70,56×89×64,280,NA,12,3
